LIMIT_BAL,total_bill,default,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,AGE_BIN,BAL_BIN
60000,222620,1,0,0,0,0,0,0,1,1,1,1,1,1,58050,57920,48871,19006,19352,19421,1,1
100000,92217,1,1,2,0,0,2,0,0,1,1,0,1,1,14476,13941,15290,16221,15848,16441,2,1
200000,1182808,1,2,2,2,2,2,2,1,1,1,1,0,1,199467,202984,193978,196234,200199,189946,2,2
30000,117976,1,1,2,2,0,0,0,1,1,1,1,0,0,29033,29280,28147,29862,1654,0,1,1
180000,730,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,730,0,0,0,0,0,2,2
210000,9577,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,3087,1574,321,3730,865,0,2,2
80000,391405,1,0,0,0,0,0,0,1,1,1,1,1,1,81632,81555,79593,49540,49510,49575,1,1
210000,2749,1,1,-2,-1,0,-1,-1,0,1,0,1,1,1,0,0,351,245,870,1283,2,2
240000,-5582,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,-929,-930,-931,-933,-930,-929,2,2
360000,685759,1,2,2,2,0,0,0,1,0,1,1,1,1,105195,115500,112192,114729,117877,120266,2,2
50000,244170,1,1,3,2,0,0,0,0,1,1,1,1,1,52655,51570,49242,30435,30282,29986,2,1
20000,94955,1,1,2,0,0,2,0,0,1,1,0,1,1,20274,17180,16914,16942,13502,10143,1,1
240000,1313393,1,0,0,0,0,0,0,1,1,1,1,1,1,234230,231696,214672,207674,210402,214719,3,2
140000,115795,1,0,0,0,0,0,0,1,1,1,1,1,1,19347,21700,22922,19041,16401,16384,2,2
100000,196612,1,0,0,0,0,0,0,1,1,1,1,1,0,37786,34476,30055,30356,31016,32923,1,1
140000,631331,1,0,0,0,0,0,0,1,1,1,1,1,1,101547,105230,104753,105294,107683,106824,1,2
220000,1129488,1,2,0,0,0,0,0,1,1,1,1,1,1,210392,213531,201857,169116,172178,162414,2,2
130000,357863,1,0,0,0,0,0,0,1,1,1,1,1,0,89019,91376,72209,49664,28079,27516,2,2
50000,73848,1,3,2,2,0,0,-1,1,0,1,1,1,1,13715,14902,14264,13991,14341,2635,1,1
260000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,3,2
360000,0,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
460000,28248,1,2,-1,-1,-1,-1,-1,1,0,1,0,1,0,200,2749,26,2685,24,22564,2,2
100000,323423,1,0,0,0,0,0,0,1,1,1,1,1,1,53527,52695,52645,52388,55870,56298,1,1
210000,211224,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,110373,42016,21908,20113,16201,613,2,2
280000,-336271,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,904,897,317,884,324,-339597,2,2
50000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
300000,45252,1,1,-2,-1,0,-1,-1,0,1,0,1,1,0,0,0,12956,12540,19566,190,2,2
20000,98707,1,0,0,2,0,0,0,1,0,1,1,1,1,12003,14606,27869,15881,15803,12545,1,1
110000,12969,1,-2,-2,-2,-2,-2,-2,1,1,0,1,0,0,451,3238,5722,1273,1866,419,1,1
200000,333046,1,-1,2,2,2,0,0,0,1,0,1,1,1,52446,51041,56200,54711,58658,59990,2,2
100000,194735,1,0,0,0,0,0,0,1,1,1,1,1,1,55766,52595,33458,28825,17618,6473,1,1
60000,171574,1,0,0,0,0,0,0,1,1,1,1,1,1,49519,33290,34315,17276,17816,19358,1,1
260000,2153,1,1,-1,-1,-2,-2,-1,1,1,1,1,1,1,0,190,553,480,422,508,3,2
110000,311373,1,1,2,2,0,0,0,1,0,1,1,1,1,58372,56603,51909,48643,47867,47979,1,1
230000,55447,1,0,0,0,-2,-1,-1,1,1,1,1,1,1,26381,18846,1120,2120,787,6193,1,2
220000,3712,1,-1,2,2,-1,2,-1,1,0,1,0,1,1,693,704,391,1027,529,368,2,2
60000,170209,1,2,2,2,2,2,0,1,0,1,0,1,1,24919,27997,27254,30206,29587,30246,2,1
200000,47651,1,1,-1,2,-1,-1,-1,1,0,1,1,1,1,-144,547,239,6830,23251,16928,2,2
130000,66552,1,0,0,2,0,0,0,1,0,1,1,1,1,9570,12401,11886,9825,10174,12696,2,2
50000,234055,1,0,0,0,0,0,0,1,1,1,1,1,1,46517,47713,49664,30911,30075,29175,2,1
100000,19563,1,-1,-1,-1,0,0,0,1,1,1,1,1,1,1413,4247,4225,3620,2035,4023,1,1
50000,273260,1,0,0,0,0,0,0,1,1,1,1,1,1,47067,49286,50362,45481,39933,41131,1,1
30000,118268,1,0,0,0,0,0,0,1,1,1,1,1,1,17940,19073,20197,20310,20857,19891,1,1
90000,86797,1,0,0,-1,0,0,-1,1,1,0,0,1,1,39162,20515,1989,1996,0,23135,1,1
380000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
50000,109249,1,2,2,2,0,0,2,1,0,1,1,1,1,15910,18726,18124,18527,19095,18867,3,1
180000,177625,1,-1,0,0,0,0,0,1,1,1,1,1,1,27723,28478,29718,30060,30475,31171,2,2
500000,2926613,1,4,3,2,0,0,0,1,0,1,1,1,1,507729,509224,499922,505485,484607,419646,1,2
110000,4531,1,1,-2,-1,0,-1,-1,0,1,0,1,1,1,0,0,2073,2003,226,229,2,1
300000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
20000,93516,1,3,2,0,0,0,0,0,1,1,1,1,1,20658,20040,19737,11121,10948,11012,2,1
180000,83591,1,2,2,-2,-2,-2,-2,0,0,0,0,0,0,83591,0,0,0,0,0,2,2
30000,126259,1,0,0,0,0,0,0,1,1,1,1,1,1,19149,20167,21221,21480,21799,22443,3,1
50000,84411,1,0,0,0,0,0,0,1,1,1,1,1,1,20582,15203,15184,9686,11213,12543,2,1
50000,16312,1,2,2,2,0,0,0,1,1,1,1,1,1,1892,3188,3358,3525,1936,2413,2,1
80000,416418,1,-1,0,0,2,2,2,1,1,1,1,1,1,63176,65669,68919,70696,72908,75050,4,1
260000,2797,1,-1,-1,-1,0,0,-1,1,1,0,0,1,1,1165,332,630,345,0,325,2,2
280000,175017,1,1,-1,0,0,0,0,1,1,1,1,1,1,-1298,35929,37305,37159,32592,33330,2,2
150000,7206,1,-1,-1,-1,-1,-1,2,1,1,0,1,0,1,1485,2106,406,0,2366,843,2,2
60000,185616,1,1,2,2,2,2,2,0,1,1,1,1,1,29338,28576,30797,31586,32348,32971,1,1
230000,64308,1,1,2,0,0,0,0,0,1,1,1,1,1,13673,12644,13125,10578,9215,5073,1,2
260000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
200000,613959,1,2,2,2,0,0,0,1,0,1,1,1,0,104986,105926,102659,97080,98047,105261,2,2
20000,79057,1,2,2,2,2,0,0,1,1,0,1,1,1,9560,12084,13085,12575,15330,16423,2,1
170000,1597,1,-1,-1,-1,-1,0,-1,1,1,1,0,1,1,228,232,237,440,232,228,2,2
390000,1772890,1,0,0,0,0,0,0,1,1,1,1,1,1,304876,300002,300425,292863,292889,281835,1,2
360000,36770,1,0,0,-1,-1,-1,-2,1,1,1,0,0,0,9229,8504,17249,1788,0,0,3,2
270000,1360112,1,1,2,2,2,2,2,1,1,0,1,1,0,234790,233083,229342,217709,223737,221451,2,2
80000,339492,1,0,0,0,0,0,0,1,1,1,1,1,1,77073,73344,57884,37734,46298,47159,1,1
380000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,3,2
70000,156555,1,0,0,0,0,0,-1,1,1,1,0,1,1,50931,39879,32005,17610,9726,6404,2,1
170000,2121,1,1,-2,-1,-1,-2,-1,0,1,0,0,1,1,0,0,1971,0,0,150,3,2
230000,1210717,1,-1,0,0,0,0,0,1,1,1,1,1,1,208478,206350,203832,201349,199018,191690,3,2
390000,1864550,1,0,0,0,0,0,0,1,1,1,1,1,1,355235,363345,373201,252215,257516,263038,2,2
140000,832242,1,0,0,2,2,2,2,1,0,1,1,1,1,131349,146155,140145,143959,140381,130253,1,2
80000,58980,1,0,0,0,0,0,0,1,1,1,1,1,1,8582,9436,10033,10029,10402,10498,1,1
130000,107140,1,0,0,0,0,0,0,1,1,0,0,0,0,19184,20568,22729,22331,22328,0,2,2
120000,11429,1,-1,-1,-2,-1,-1,-2,0,0,1,0,0,0,921,0,0,10508,0,0,1,1
50000,189361,1,2,2,2,2,2,2,1,1,1,1,1,1,29527,30758,31454,31940,32583,33099,1,1
100000,472562,1,0,0,-1,0,0,0,1,1,1,1,1,1,94326,53457,85889,78884,79610,80396,3,1
360000,425033,1,-1,-1,-1,0,0,-1,1,1,1,1,1,1,1242,858,64688,126034,106622,125589,1,2
140000,501640,1,0,0,0,0,0,0,1,1,1,1,1,1,111520,112160,69558,70835,70808,66759,2,2
620000,979956,1,2,2,0,0,0,0,0,1,1,1,1,1,160845,156841,160436,163771,167161,170902,2,2
10000,37010,1,0,0,2,2,2,0,1,0,1,0,1,1,4086,6404,6149,6911,6662,6798,2,1
100000,357001,1,2,0,0,3,3,2,1,1,1,0,1,1,53894,55087,61644,62552,61255,62569,3,1
30000,169852,1,2,3,2,2,0,0,0,1,0,1,1,1,28809,28075,28327,27580,28225,28836,2,1
220000,-260,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,-30,-22,-14,-7,-22,-165,2,2
120000,246777,1,0,0,0,0,0,0,1,1,1,1,1,1,52485,50534,45162,35513,31821,31262,1,1
190000,72227,1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,0,28230,0,16533,0,26884,580,2,2
50000,219281,1,0,0,0,0,0,0,1,1,1,1,1,1,50732,51088,28199,28854,30414,29994,3,1
90000,107715,1,0,0,0,0,0,0,1,1,1,1,1,1,13172,14562,15524,18266,22773,23418,1,1
160000,13792,1,-2,-1,-1,0,-1,-1,1,1,0,1,1,0,3108,5117,1030,410,3138,989,3,2
30000,802,1,1,-1,-1,-2,-2,-2,1,0,0,0,0,0,0,802,0,0,0,0,1,1
220000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
210000,67274,1,-1,-1,2,-1,-1,-1,1,0,1,1,1,1,8810,23614,21742,9584,1541,1983,1,2
300000,80082,1,-1,-1,2,0,-1,-1,1,0,0,1,1,1,-434,5242,4667,2374,2819,65414,2,2
30000,3470,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,418,423,427,431,423,1348,3,1
360000,5980,1,0,0,-2,-2,-2,-1,0,0,0,0,1,0,3305,0,0,0,0,2675,1,2
90000,7631,1,0,0,-2,-2,-2,-2,0,0,0,0,0,0,7631,0,0,0,0,0,1,1
20000,45098,1,0,0,0,0,0,-2,1,1,0,1,0,0,16606,16455,6412,4308,1317,0,1,1
130000,200608,1,0,0,0,0,-2,-2,1,1,0,0,0,0,100152,50459,49997,0,0,0,1,2
60000,70578,1,2,0,0,-2,-2,-2,1,0,0,0,0,0,35329,35249,0,0,0,0,2,1
280000,1150927,1,2,2,2,2,2,2,0,1,1,1,0,1,186174,181807,192219,195550,199278,195899,2,2
450000,41716,1,1,-2,-2,-1,-1,-2,0,1,1,0,0,0,-169,-163,0,42048,0,0,2,2
280000,23889,1,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,2072,3532,5583,5345,3841,3516,2,2
190000,273680,1,0,0,0,0,0,0,1,1,1,1,1,1,46937,48677,49355,50391,43894,34426,1,2
90000,90269,1,0,0,0,-1,-1,-1,1,0,1,1,0,0,42901,44983,0,870,1515,0,2,1
20000,43453,1,2,2,2,0,0,0,1,1,0,1,1,0,5786,7532,7699,7339,7479,7618,2,1
20000,91286,1,0,0,0,0,0,0,1,1,1,1,1,1,12887,14218,14930,15686,16422,17143,2,1
100000,500868,1,2,0,0,0,0,0,1,1,1,1,1,1,96210,82357,81980,82188,78855,79278,1,1
30000,13688,1,2,2,6,6,6,6,0,0,0,0,0,0,2396,2383,2371,2359,2383,1796,1,1
90000,249849,1,2,2,2,2,2,2,0,1,0,1,0,1,64764,63157,32772,31615,29233,28308,2,1
190000,959168,1,2,2,2,2,2,2,1,1,1,1,1,1,145608,156747,159356,161827,165707,169923,2,2
20000,4056,1,-1,-1,-1,0,0,0,0,1,1,1,1,1,788,0,729,633,1255,651,2,1
200000,815101,1,2,0,0,0,0,0,1,1,1,1,1,1,159430,156993,132189,119187,122249,125053,1,2
280000,174567,1,-2,-2,-2,-2,-1,0,1,1,1,1,1,1,28040,41313,51508,35757,3966,13983,2,2
10000,26116,1,0,0,0,0,-2,-2,1,1,0,0,0,0,8109,9768,8239,0,0,0,1,1
50000,106039,1,-1,0,0,0,0,0,1,1,1,1,1,1,15455,16393,18091,18413,18620,19067,1,1
70000,182199,1,0,0,0,0,0,0,1,1,1,1,0,1,69430,68952,38788,3759,1270,0,2,1
10000,55214,1,0,0,0,2,0,0,1,1,0,1,1,1,7187,8479,9892,9599,9817,10240,2,1
80000,129855,1,2,0,0,2,0,0,1,1,0,1,1,1,17350,19278,23437,22789,23263,23738,1,1
300000,1400179,1,0,0,0,0,0,0,1,1,1,1,1,1,280837,275315,271961,193409,187574,191083,2,2
150000,12153,1,2,-1,-1,-1,-1,-1,1,1,1,1,1,0,416,419,422,4859,5231,806,2,2
50000,216987,1,6,6,6,5,4,3,0,0,1,0,0,1,37658,37108,36239,36371,35235,34376,1,1
50000,178922,1,0,0,0,0,0,0,1,1,1,1,1,1,48049,46797,42017,19150,2855,20054,1,1
230000,39960,1,2,0,-1,-1,-1,-1,1,1,0,1,1,1,9682,10211,1889,-743,6212,12709,2,2
50000,172213,1,1,2,0,0,0,2,1,1,1,1,0,1,43375,43398,23461,22019,21217,18743,3,1
50000,147179,1,2,0,0,-1,0,-1,1,1,1,1,1,1,47857,49211,42567,606,4627,2311,2,1
100000,499747,1,2,2,2,2,2,2,1,1,1,1,1,1,79575,81476,82730,83567,85308,87091,1,1
230000,462657,1,0,0,0,0,2,0,1,1,1,0,1,1,87799,73569,72427,76928,75254,76680,2,2
20000,113215,1,4,3,2,0,0,0,0,0,1,1,1,0,20645,20047,19380,19389,17405,16349,1,1
20000,115465,1,0,0,2,2,2,2,1,1,0,1,1,0,16787,18913,19909,19298,20572,19986,2,1
300000,91466,1,-1,0,0,0,0,-1,1,1,0,1,1,0,24945,21360,16241,11335,11423,6162,1,2
120000,413896,1,1,2,2,2,2,2,1,1,1,1,1,0,66031,67359,68337,69297,70681,72191,2,1
70000,302985,1,2,2,0,0,0,0,0,1,1,1,1,1,54987,51402,49751,50378,49203,47264,3,1
50000,225185,1,1,2,0,0,0,0,1,1,1,1,1,1,48876,48095,48625,26675,26049,26865,1,1
40000,72097,1,0,0,0,0,0,0,1,1,1,1,1,1,11072,11481,11783,12664,12670,12427,1,1
20000,137573,1,6,6,6,5,4,3,0,0,0,0,0,0,24343,24027,23400,22772,21836,21195,1,1
30000,14866,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,1595,2473,0,4774,2782,3242,3,1
500000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
110000,163,1,1,-2,-2,-2,-2,-1,0,0,0,0,1,1,0,0,0,0,0,163,2,1
50000,239769,1,2,0,0,2,0,0,1,1,0,1,1,1,47642,50215,50480,32135,29513,29784,2,1
150000,890013,1,4,4,4,3,2,0,1,0,1,0,1,1,151157,153838,150381,148060,143406,143171,2,2
40000,184059,1,0,0,2,2,2,2,1,1,0,1,1,0,26499,29471,30200,29425,33939,34525,1,1
100000,314356,1,2,2,2,2,2,2,1,1,1,1,0,1,50501,51596,52153,52701,54213,53192,2,1
50000,231607,1,0,0,0,0,0,0,1,1,1,1,1,1,47921,48452,48109,28431,29043,29651,3,1
50000,194787,1,0,0,0,0,0,0,1,1,1,1,1,1,51731,27102,28071,28769,29242,29872,3,1
240000,237,1,-1,-1,-2,-2,-2,-2,0,0,0,0,0,0,237,0,0,0,0,0,2,2
170000,815510,1,2,2,2,2,2,2,1,0,1,0,1,1,131881,133912,129774,138616,136298,145029,1,2
90000,79731,1,0,0,0,0,2,0,1,1,1,0,1,1,11361,12398,13420,14360,13962,14230,3,1
200000,24034,1,-1,-1,0,-1,-1,-1,1,1,1,1,0,0,3952,11598,6064,451,1969,0,2,2
50000,16894,1,2,2,2,-1,2,2,1,0,1,0,1,0,4209,5174,3702,620,468,2721,2,1
120000,42880,1,0,0,0,0,0,0,1,1,1,0,0,1,22453,12422,4223,3085,697,0,1,1
120000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
240000,2440735,1,0,0,0,0,0,0,1,1,1,1,1,1,471839,478408,395643,386329,356234,352282,2,2
180000,80379,1,-2,-1,2,2,-2,-2,1,0,0,0,0,0,11431,14736,14098,13507,13488,13119,1,2
320000,115078,1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,9993,3512,84478,952,11788,4355,3,2
160000,3891,1,2,2,-1,-1,-1,-1,0,1,0,1,0,1,2021,30,910,0,930,0,1,2
30000,65118,1,2,0,0,2,2,2,1,1,0,1,0,1,7859,9067,11591,11102,12925,12574,2,1
180000,107555,1,1,2,2,2,0,0,0,1,0,1,1,1,15550,15003,17737,17148,18726,23391,2,2
80000,5820,1,2,2,5,5,4,3,0,0,0,0,0,0,1220,1220,1220,1220,620,320,1,1
30000,39916,1,-1,0,0,0,0,-2,1,1,1,1,0,0,12943,13543,6727,6703,0,0,1,1
200000,21853,1,-1,0,0,-1,0,-1,1,1,1,0,1,1,6250,6779,7613,442,237,532,2,2
250000,41222,1,-1,-1,-1,0,-1,-1,0,1,0,1,1,1,1380,28,8387,5946,23072,2409,2,2
300000,166481,1,-1,0,0,-1,0,0,1,1,1,1,1,1,11972,61822,25122,37633,19441,10491,2,2
140000,581693,1,0,0,0,0,0,0,1,1,1,1,1,1,134262,127397,107593,69335,70780,72326,2,2
180000,42914,1,0,0,0,0,0,0,1,1,1,1,1,1,5611,6638,10593,7752,6813,5507,1,2
500000,221404,1,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,45146,81314,18182,27299,21512,27951,2,2
130000,14881,1,1,-1,-1,-2,-1,-1,1,1,1,1,1,1,1063,6434,68,1017,5042,1257,2,2
80000,363074,1,0,0,0,0,0,0,1,1,1,1,1,1,57389,58658,59878,61078,62403,63668,1,1
360000,531110,1,0,0,0,0,0,-2,1,1,1,0,0,0,279887,169478,68872,12873,0,0,1,2
290000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
360000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
50000,2722,1,-1,-1,-1,0,-1,-1,0,1,0,1,1,1,773,0,745,342,369,493,1,1
360000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
150000,16007,1,-2,-2,-2,-2,-2,-2,1,1,1,0,0,0,456,9654,3400,2497,0,0,2,2
80000,80036,1,0,0,-2,-2,-2,-2,0,0,0,0,0,0,80036,0,0,0,0,0,1,1
160000,37455,1,0,0,0,-1,-1,-1,1,0,1,0,1,0,2193,11138,0,12274,0,11850,1,2
140000,673402,1,2,0,0,0,0,0,1,1,1,1,1,1,131782,134053,125313,99249,90593,92412,3,2
30000,173551,1,2,2,0,0,2,2,0,1,1,1,0,1,30373,29027,27716,29468,30113,26854,3,1
140000,2602,1,-1,2,-1,-1,-1,-1,0,1,1,1,1,1,677,354,357,359,504,351,2,2
230000,11819,1,2,-1,2,0,-1,-1,1,1,1,1,1,1,1294,3936,1974,1474,586,2555,3,2
20000,117571,1,2,2,2,2,2,2,1,1,0,1,0,1,16266,20587,20589,19625,20477,20027,1,1
220000,1045259,1,0,0,0,0,2,0,1,1,1,1,1,1,162120,170604,173979,183037,181397,174122,2,2
140000,274177,1,1,2,2,2,0,0,1,1,0,1,1,1,42903,45737,46459,45406,46369,47303,1,2
20000,66813,1,2,0,0,0,0,-2,1,1,0,1,1,1,20550,16302,21040,7009,1082,830,2,1
60000,72491,1,0,0,0,2,0,0,1,1,0,1,1,1,9941,11271,12860,12355,12713,13351,2,1
280000,1492058,1,0,0,0,0,0,0,1,1,1,1,1,1,284226,284063,283419,213318,213406,213626,3,2
30000,180720,1,2,0,0,0,0,0,1,1,1,1,1,0,29247,30336,29703,30269,30098,31067,3,1
240000,1535,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,276,259,241,224,259,276,2,2
410000,2194172,1,0,0,0,0,0,0,1,1,1,1,1,1,354518,363674,369780,368779,369366,368055,2,2
360000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
210000,51329,1,1,2,0,0,-1,-1,1,1,0,1,1,1,5823,5579,20073,17296,2310,248,2,2
30000,160517,1,0,0,2,2,2,0,1,0,1,0,1,1,24238,26986,26249,27704,27141,28199,1,1
20000,117285,1,1,2,2,3,2,0,0,1,0,0,1,1,18680,18099,21078,20469,19327,19632,2,1
150000,359952,1,0,0,0,0,0,0,1,1,1,1,1,1,80499,82557,84323,43892,34007,34674,2,2
200000,989987,1,2,0,0,0,0,0,1,1,1,1,1,1,176494,176274,162789,160135,161942,152353,2,2
20000,103618,1,1,2,4,3,2,2,1,0,0,0,1,0,20028,21426,20663,19958,19757,1786,2,1
50000,299319,1,0,0,0,2,2,2,1,1,1,1,0,1,47069,47849,51121,51723,52752,48805,1,1
230000,1085253,1,0,0,0,0,0,0,1,1,1,1,1,1,234345,234227,157359,155348,153443,150531,2,2
100000,584621,1,2,0,0,2,2,0,1,1,1,1,1,1,98853,95267,98567,99312,96663,95959,2,1
240000,811231,1,2,2,2,0,0,0,1,0,1,1,1,1,127401,135907,132586,135248,138488,141601,2,2
70000,14427,1,2,2,6,6,6,6,0,0,0,0,0,0,2410,2405,2401,2396,2405,2410,2,1
180000,317064,1,2,2,2,2,2,2,1,1,1,1,1,1,50452,51857,52417,52968,54162,55208,2,2
80000,465913,1,1,2,2,2,0,0,0,1,0,1,1,1,77364,75538,80231,75633,77457,79690,1,1
140000,81776,1,0,0,2,0,0,0,1,0,1,1,1,1,9335,13649,13142,14121,15224,16305,1,2
80000,14717,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1282,1662,1996,693,5132,3952,3,1
140000,282895,1,0,0,0,0,0,0,1,1,1,1,1,1,81785,92092,43798,22828,12664,29728,1,2
90000,333937,1,2,2,0,0,0,0,1,1,1,1,1,1,82012,83686,80899,31571,33061,22708,3,1
20000,10095,1,-1,-1,0,0,-1,-1,1,1,0,1,1,1,1271,2840,2522,1256,1266,940,2,1
270000,20154,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,417,3420,3010,4213,5929,3165,2,2
100000,592453,1,0,0,0,0,0,0,1,1,1,1,1,1,100060,100067,100430,97171,97169,97556,3,1
210000,519076,1,0,0,0,0,0,0,1,1,1,1,1,1,209846,123712,51410,43552,44832,45724,1,2
70000,138025,1,2,2,2,2,2,2,1,0,1,1,1,1,20995,21737,21065,23671,24877,25680,2,1
20000,102633,1,-1,-1,0,0,0,0,1,1,1,1,1,1,3684,19319,19841,19835,20391,19563,1,1
80000,283043,1,0,0,0,0,0,0,1,1,1,1,1,1,63719,64214,38204,38264,38638,40004,1,1
